st_gene_id	gene_id	gene_symbol	fpkm_con_1	fpkm_con_2	fpkm_con_3	fpkm_p_1	fpkm_p_2	fpkm_p_3	tpm_con_1	tpm_con_2	tpm_con_3	tpm_p_1	tpm_p_2	tpm_p_3	read_count_con_1	read_count_con_2	read_count_con_3	read_count_p_1	read_count_p_2	read_count_p_3	average_fpkm_con	average_fpkm_p	average_tpm_con	average_tpm_p	average_read_count_con	average_read_count_p
G9606_18174	8723	SNX4	15.77	15.53	15.15	15.86	16.05	16.02	31.87	30.94	30.9	33.61	34.46	34.4	764	648	723	748.02	764	756	15.48333333	15.97666667	31.23666667	34.15666667	711.6666667	756.0066667
G9606_14205	131118	DNAJC19	18.79	19.66	19.75	15.98	17.15	16.28	37.96	39.17	40.28	33.86	36.83	34.94	504.55	454.82	522.66	416.77	452.05	424.6	19.4	16.47	39.13666667	35.21	494.01	431.14
G9606_23118	1203	CLN5	3.56	3.06	3.41	2.83	2.95	3.31	7.19	6.1	6.94	6	6.34	7.11	363.54	269.91	342.69	280.47	295.63	329.11	3.343333333	3.03	6.743333333	6.483333333	325.38	301.7366667
G9606_14681	25809	TTLL1	6.87	9.57	7.71	8.68	9.05	9.84	13.89	19.07	15.72	18.39	19.43	21.12	217	252	235	267	275	297	8.05	9.19	16.22666667	19.64666667	234.6666667	279.6666667
G9606_31286	80273	GRPEL1	24.38	23.1	23.99	19.9	18.61	18.96	49.26	46.02	48.91	42.18	39.96	40.7	1246	1018	1209	989	934	942	23.82333333	19.15666667	48.06333333	40.94666667	1157.666667	955
G9606_4811	149840	SHLD1	5.81	6.42	6.35	5.3	4.39	5.26	11.74	12.78	12.95	11.23	9.42	11.29	103.39	96.05	114.39	109.08	88.72	104.85	6.193333333	4.983333333	12.49	10.64666667	104.61	100.8833333
G9606_18316	387882	C12orf75	52.21	50.09	51.91	50.07	53.29	52.69	105.48	99.81	105.85	106.13	114.44	113.13	1293	1069.99	1268	1205.99	1296.19	1269	51.40333333	52.01666667	103.7133333	111.2333333	1210.33	1257.06
G9606_7627	55665	URGCP	9.89	10.67	9.94	9.76	9.56	8.97	19.99	21.26	20.28	20.69	20.53	19.26	692.99	644.19	682.8	661.57	653.96	613.03	10.16666667	9.43	20.51	20.16	673.3266667	642.8533333
G9606_12791	168667	BMPER	0.09	0.06	0.07	0.22	0.17	0.25	0.19	0.12	0.14	0.47	0.37	0.54	6	3	4	16	11	15	0.073333333	0.213333333	0.15	0.46	4.333333333	14
G9606_26628	26019	UPF2	10.53	11.07	11.26	12.2	12.89	13.04	21.27	22.06	22.96	25.85	27.67	27.99	1052	961	1111.74	1194.09	1267.8	1266.96	10.95333333	12.71	22.09666667	27.17	1041.58	1242.95
G9606_11144	221443	OARD1	11.13	11.67	9.88	9.44	8.51	9.9	22.48	23.25	20.14	20.01	18.27	21.25	323.29	286.52	288.93	254.73	255.69	278.79	10.89333333	9.283333333	21.95666667	19.84333333	299.58	263.07
G9606_18588	57216	VANGL2	6.07	5.9	6.46	6.77	6.72	7.29	12.26	11.76	13.16	14.35	14.42	15.65	622.32	515.01	643.98	663.85	665	715	6.143333333	6.926666667	12.39333333	14.80666667	593.77	681.2833333
G9606_1086	9564	BCAR1	32.62	33.83	32.41	32.63	32.07	32.37	65.9	67.41	66.09	69.15	68.87	69.49	2591	2319.84	2545	2523.55	2506.58	2503.4	32.95333333	32.35666667	66.46666667	69.17	2485.28	2511.176667
G9606_8088	5064	PALM	40.39	43.85	43.99	53.1	51.1	49.75	81.6	87.37	89.71	112.54	109.74	106.81	2231	2082.79	2390.88	2844.69	2775.22	2689	42.74333333	51.31666667	86.22666667	109.6966667	2234.89	2769.636667
G9606_2933	219854	TMEM218	3.96	3.83	3.69	3.84	3.43	3.49	8.01	7.62	7.53	8.13	7.36	7.49	274	225.8	257	258	235.96	235	3.826666667	3.586666667	7.72	7.66	252.2666667	242.9866667
G9606_420	23761	PISD	11.72	11.93	11.8	12.46	11.34	11.71	23.67	23.78	24.06	26.4	24.35	25.15	565.94	483.05	556.72	570.99	548.75	546.76	11.81666667	11.83666667	23.83666667	25.3	535.2366667	555.5
G9606_35227	55096	EBLN2	1.13	0.87	0.89	1.31	0.96	1.08	2.27	1.73	1.81	2.79	2.05	2.33	36	23.9	28	40.9	30	33.69	0.963333333	1.116666667	1.936666667	2.39	29.3	34.86333333
G9606_22985	55954	ZMAT5	27.91	31.11	24.02	26.46	25.85	26.09	56.38	61.98	48.99	56.09	55.5	56.01	462.98	448.14	392.44	425.52	427.75	424.42	27.68	26.13333333	55.78333333	55.86666667	434.52	425.8966667
G9606_32886	3226	HOXC10	16.61	17.94	16.57	17.48	17.24	17.81	33.55	35.74	33.79	37.06	37.01	38.24	628	585	618	642.99	640.11	654.99	17.04	17.51	34.36	37.43666667	610.3333333	646.03
G9606_8134	1497	CTNS	14.11	13.89	15.71	15.11	14.43	14.86	28.5	27.67	32.03	32.02	30.99	31.89	781.43	656.44	827.54	800.53	765.72	778.61	14.57	14.8	29.4	31.63333333	755.1366667	781.62
