gene_symbol,average_fpkm_con,average_fpkm_p,average_tpm_con,average_tpm_p,fold_change,log2FC,expression_status
MCM7,128.6,129.1866667,259.4066667,276.1733333,1.0045619494556766,0.006566535118158281,Below fold-change threshold
FMNL2,8.733333333,11.14333333,17.62333333,23.81666667,1.2759541981403038,0.35157654281609857,Below fold-change threshold
CX3CR1,0.02,0.043333333,0.036666667,0.096666667,2.1666666500000002,1.115477206322282,Upregulated
ZNF117,0.203333333,0.2,0.413333333,0.426666667,0.983606558989519,-0.023846739589293852,Below fold-change threshold
CPTP,21.91666667,20.94,44.21,44.77333333,0.9554372622121008,-0.06576695163448376,Below fold-change threshold
FAM43A,13.9,19.27666667,28.03666667,41.21,1.3868105517985612,0.47177071870093445,Below fold-change threshold
ATP6V1E1,68.51666667,64.74333333,138.1933333,138.39,0.9449282412091983,-0.08172332109065313,Below fold-change threshold
BCAM,146.4733333,172.4466667,295.45,368.68,1.1773246557228447,0.23551220875014167,Below fold-change threshold
GLT8D2,1.806666667,1.876666667,3.646666667,4.013333333,1.038745387446726,0.05484207071642963,Below fold-change threshold
PLXNB1,6.12,7.016666667,12.34666667,15.00333333,1.1465141612745098,0.19725417460848702,Below fold-change threshold
SPRN,1.576666667,1.36,3.183333333,2.903333333,0.8625792810015689,-0.2132710316729091,Below fold-change threshold
PMPCA,41.29666667,37.95,83.30666667,81.14333333,0.9189603679942724,-0.12192545114349877,Below fold-change threshold
IL13RA1,14.58,14.75333333,29.41666667,31.54333333,1.0118884314128944,0.017050230426959283,Below fold-change threshold
KNL1,9.813333333,11.19666667,19.81,23.94333333,1.1409646742914732,0.19025412465599184,Below fold-change threshold
ZNF773,4.69,4.566666667,9.46,9.76,0.9737029140724945,-0.03844643528333764,Below fold-change threshold
HNF1A,0.013333333,0.026666667,0.023333333,0.056666667,2.000000075000002,1.0000000541010645,Upregulated
ARHGAP25,0.196666667,0.286666667,0.393333333,0.61,1.4576271178684286,0.5436217045725632,Below fold-change threshold
PSG8,0.236666667,0.29,0.473333333,0.616666667,1.2253521109502081,0.2931963743120812,Below fold-change threshold
H4C3,0.36,0.293333333,0.72,0.626666667,0.8148148138888889,-0.2954558851655975,Below fold-change threshold
IPO13,11.44,11.53333333,23.07,24.65666667,1.008158507867133,0.011722484607577549,Below fold-change threshold
MPP7,4.303333333,4.353333333,8.676666667,9.306666667,1.0116189000783593,0.016665896240523573,Below fold-change threshold
GZMK,0.0,0.013333333,0.0,0.026666667,,,Below fold-change threshold
VDAC1,154.3033333,142.8433333,311.2866667,305.39,0.9257307035764472,-0.11133552248042049,Below fold-change threshold
ACKR1,0.0,0.033333333,0.0,0.066666667,,,Below fold-change threshold
AJAP1,0.536666667,0.743333333,1.086666667,1.59,1.385093166220439,0.4699830202626555,Below fold-change threshold
KLHL28,2.276666667,2.58,4.593333333,5.51,1.133235724577857,0.18044798764309056,Below fold-change threshold
CHRFAM7A,4.183333333,4.01,8.446666667,8.573333333,0.9585657371281725,-0.06105072154710218,Below fold-change threshold
IER3IP1,12.18666667,12.02,24.59,25.69333333,0.9863238509337189,-0.01986667402033829,Below fold-change threshold
BCOR,6.8,7.86,13.72666667,16.81333333,1.1558823529411766,0.20899456612090483,Below fold-change threshold
C1QL3,0.016666667,0.0,0.03,0.0,0.0,,Below fold-change threshold
ITGA2,2.38,2.946666667,4.8,6.3,1.2380952382352943,0.3081222955255329,Below fold-change threshold
SLC22A1,0.183333333,0.293333333,0.37,0.62,1.600000001090909,0.6780719060962933,Below fold-change threshold
CREG2,0.59,0.61,1.193333333,1.303333333,1.033898305084746,0.0480942882010452,Below fold-change threshold
NKX3-2,1.21,1.273333333,2.443333333,2.73,1.0523415975206611,0.07360308966232912,Below fold-change threshold
ZNF480,3.683333333,3.676666667,7.426666667,7.853333333,0.9981900454297005,-0.0026135784260532943,Below fold-change threshold
TMEM178A,0.203333333,0.403333333,0.41,0.86,1.9836065589895189,0.988125900884472,Below fold-change threshold
SLC11A1,0.203333333,0.103333333,0.406666667,0.216666667,0.5081967205052406,-0.9765410294647922,Below fold-change threshold
FAM216A,28.30666667,26.99333333,57.1,57.72,0.9536033911971734,-0.06853872857696329,Below fold-change threshold
SMPDL3B,1.6,1.62,3.23,3.453333333,1.0125,0.017921907997262315,Below fold-change threshold
USP17L17,0.0,0.006666667,0.0,0.016666667,,,Below fold-change threshold
